12	0.144	0.1728	43.2
21.6	0.46656	1.0077696	76.2
19.1	0.36481	0.6967871	66.7
21.7	0.47089	1.0218313	72.6
16.6	0.27556	0.4574296	70.1
16.2	0.26244	0.4251528	67.7
21.7	0.47089	1.0218313	72.6
16.6	0.27556	0.4574296	70.1
16.2	0.26244	0.4251528	67.7
15	0.225	0.3375	76
18.6	0.34596	0.6434856	102.6
19.8	0.39204	0.7762392	110.8
28.6	0.81796	2.3393656	217.2
25.8	0.66564	1.7173512	229.7
24.7	0.61009	1.5069223	217.6
23.7	0.56169	1.3312053	177.5
16	0.256	0.4096	182.7
29	0.841	2.4389	213.3
32	1.024	3.2768	224.4
31.7	1.00489	3.1855013	236.8
32.9	1.08241	3.5611289	349.5
28.9	0.83521	2.4137569	283.5
28.8	0.82944	2.3887872	273.9
36.4	1.32496	4.8228544	323.8
66.1	4.36921	28.8804781	365.8
73.5	5.40225	39.7065375	393.6
74.9	5.61001	42.0189749	402.6
79.1	6.25681	49.4913671	411.5
80.8	6.52864	52.7514112	459.1
68.8	4.73344	32.5660672	402.5
